Subject	ObsCond
1	Present
2	Absent
3	Present
4	Absent
5	Present
6	Absent
7	Present
8	Absent
9	Present
10	Absent
11	Present
12	Absent
13	Present
14	Absent
15	Present
16	Absent
17	Present
18	Absent
19	Present
20	Absent
21	Present
22	Absent
23	Present
24	Absent
25	Present
26	Absent
27	Present
28	Absent
29	Present
30	Absent
31	Present
32	Absent
33	Present
34	Absent
35	Present
36	Absent
37	Present
38	Absent
39	Present
40	Absent
41	Present
42	Absent
43	Present
44	Absent
45	Present
46	Absent
47	Present
48	Absent
49	Present
50	Absent
51	Present
52	Absent
53	Present
54	Absent
55	Present
56	Absent
57	Present
58	Absent
59	Present
60	Absent
61	Present
62	Absent
63	Present
64	Absent
65	Present
66	Absent
67	Present
68	Absent
69	Present
70	Absent
71	Present
72	Absent
73	Present
74	Absent
75	Present
76	Absent
77	Present
78	Absent
79	Present
80	Absent
81	Present
82	Absent
83	Present
84	Absent
85	Present
86	Absent
87	Present
88	Absent
89	Present
90	Absent
91	Present
92	Absent
93	Present
94	Absent
95	Present
96	Absent
97	Present
98	Absent
99	Present
100	Absent
101	Present
