Subject	Citizen	Native_eng	EMS_1	IMS_1	EMS_2	IMS_2	IMS_3	IMS_4	IMS_5	EMS_3	EMS_4	EMS_5
1	1	1	1	1	1	1	1	8	9	1	7	1
2	1	1	4	3	6	6	7	7	8	6	7	5
3												
4	1	1	4	4	6	6	5	6	9	8	9	9
5	1	1	5	1	7	7	8	8	8	5	9	2
6	1	1	3	1	4	4	5	5	7	2	6	1
7	2	2	7	3	5	4	4	4	4	4	4	4
8	1		2	2	1	8	9	9	9	1	4	1
9	2	2	5	1	3	8	9	9	9	5	8	4
10	1	1	5	1	9	9	9	9	9	5	8	2
11	1	1	5	5	5	5	6	6	5	6	4	5
12	1	1	7	6	6	6	7	4	5	6	6	5
13	1	1	9	1	8	8	8	8	9	1	1	1
14	1	1	1	1	1	9	9	9	9	1	8	1
15	1	2	1	1	3	2	1	1	9	1		2
16	1	1	5	2	8	6	5	5	8	2	7	2
17	1	1	1	1	1	9	9	9	9	1	9	1
18	1	1	9	1	2	9	9	9	9	9	9	6
19	1	1	2	1	2	9	9	9	9	1	4	1
20	1	1	9	1	9	9	9	9	9	7	9	1
21	1	1	7	5	3	7	8	5	6	9	9	7
22	1	1	6	2	2	6	6	3	5	4	3	3
23	1	1	1	1	1	9	5	9	9	1	9	1
24	1	1	1	5	9	9	8	8	2	1	1	1
25	1	1	6	3	6	8	9	7	7	3	5	5
26	1	1	9	1	9	9	9	7	9	5	5	4
27	1	1										
28	1	1	1	1	9	9	9	9	9	7	8	1
29	1	1	1	1	1	9	8	9	9	1	7	1
30	1	1	8	1	9	7	7	7	8	7	8	5
31	1	1	1	1	9	9	9	9	8	1	1	1
32	1	1	3	1	1	9	9	9	9	4	5	1
33	1	1	3	3	7	7	7	7	7	2	2	2
34	1	1	5	2	5	6	6	6	6	6	6	6
35	1	1	2	3	5	8	8	8	8	8	9	1
36	1	2	8	3	8	8	8	8	8	8	8	8
37			9	1	9	9	9	9	9	9	9	9
38	1	1	6	3	9	9	9	8	9	9	9	5
39	2	2	1	1	1	8	9	9	8	8	1	8
40	1	1	1	1	1	9	9	9	9	6	6	3
41		1	3	2	7	7	7	7	7	7	7	5
42	1	1	1	1	8	6	5	4	5	6	7	7
43	1	1	9	2	5	7	7	7	5	7	8	6
44	1	1	3	1	9	9	9	9	9	1	1	1
45			2	3	3	1	6	7	6	3	9	3
46	1	1	4	1	4	8	8	6	8	6	7	3
47	1	1	3	3	3	3	3	3	3	3	3	3
48	1	1	6	1	9	9	9	9	9	5	5	5
49	1	1	9	1	9	9	9	9	9	9	8	3
50	1	1	7	5	3	7	7	7	4	4	8	4
51	1	1	6	3	8	7	7	7	7	7	8	5
52	1	1	3	2	5	7	6	6	8	3	3	3
53												
54	1	1	1	1	9	9	9	9	9	8	3	1
55	1	1	1	2	7	7	6	6	6	1	1	1
56	1	1	7	1	7	7	7	7	7	7	7	7
57	1	1	1	1	6	7	7	1	9	1	7	1
58	1	1	1	1	4	9	7	9	9	1	8	1
59	1	1	3	9	3		6	1	1	2	4	1
60	1	1	9	1	9	9	9	9	9	9	5	1
61	1	1	9	1	9	9	7	7	9	8	8	6
62	1	1	1	1	5	9	9	9	9	1	1	1
63	1	1	5	2	5	5	9	9	9	6	5	5
64	1	1	5	7	7	6	7	7	5	5	5	5
65	1	1	7	6	6	4	7	6	4	7	8	6
66	1	1	8	1	7	9	9	9	9	7	8	5
67	1	1	9	4	4	9	9	9	3	1	1	1
68	1	1	2	1	2	2	2	2	2	2	2	2
69	1	1	5	4	6	7	7	7	6	3	4	3
70			9	1	9	9	9	9	9	9	9	9
71	1	1	7	2	8	7	7	8	8	7	7	4
72	1	1	7	2	8	6	7	4	7	7	9	4
73			10	1	10	9	9	9	9	10	9	3
74	1	1	5	7	7	4	3	3	3	6	7	5
75	1	1	5	1	1	5	5	5	9	1	9	1
76	1	1	5	1	5	9	9	9	9	5	7	2
77	1	1	9	1	9	9	9	9	9	9	9	4
78	1	1	1	1	9	9	9	9	9	1	2	1
79	1	1	6	1	8	8	8	8	8	7	9	5
80	1	1	5	5	5	5	5	5	5	5	5	5
81	1	1	3	3	7	5	4	4	7	5	7	4
82	1	1										
83	1	1	3	3	7	8	8	9	9	1	5	1
84	1	1	3	3	4	6	7	8	8	4	6	4
85			7	2	9	9	7	8	8	8	7	6
86	1	1	1	1	5	9	8	8	8	2	2	1
87	1	1	4	3	6	7	8	7	7	6	6	4
88												
89												
90												
91	1	1	2	1	7	8	8	7	8	8	8	5
92	1	1	5	3	7	7	8	9	7	7	7	4
93	1	1	5	5	5	6	7	6	7	1	2	2
94	1	1	7	1	6	9	9	9	9	7	7	7
95	1	1	2	1	9	9	9	9	9	2	7	1
96	1	1	2	1	9	9	9	9	9	8	7	5
97	1	1	8	3	7	8	8	6	7	6	9	5
98	1	1	5	1	9	9	9	9	9	7	7	2
99	1	1	6	2	9	8	9	9	7	3	2	2
100	1	1	2	8	8	4	5	5	6	5	5	6
101	1	1										
