"Subject"	"Session"	"DemoAge.RESP"	"DemoEthnicity.RESP"	"DemoGender.RESP"	"DemoRace.RESP"	"responseMappingTool"	"Block"	"Procedure.Block."	"toolResponse"	"weaponResponse"	"Trial"	"blockName"	"Practice.Trial."	"SubTrial"	"CorrectResponse"	"facePictureFile"	"ITIDuration"	"PrimeType"	"responseAccData"	"rtFeedbackText"	"targetPictureFile"	"TargetType"	"TargetWIT.ACC"	"TargetWIT.CRESP"	"TargetWIT.RESP"	"TargetWIT.RT"	"errorQSlide.RESP"	"IMS"	"EMS"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	1	"a"	"blackFace5.bmp"	800	"black"	2	"+"	"weapon3.bmp"	"weapon"	1	"a"	"a"	457	NA	5.6	2.2
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	2	"a"	"blackFace7.bmp"	1000	"black"	2	"+"	"weapon4.bmp"	"weapon"	1	"a"	"a"	472	NA	5.6	2.2
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	3	"a"	"whiteFace2.bmp"	1200	"white"	1	"+"	"weapon4.bmp"	"weapon"	0	"a"	"l"	336	NA	5.6	2.2
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	4	"l"	"whiteFace4.bmp"	800	"white"	3	"TOO SLOW"	"tool2.bmp"	"tool"	0	"l"	""	0	NA	5.6	2.2
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	5	"l"	"whiteFace6.bmp"	1000	"white"	2	"+"	"tool4.bmp"	"tool"	1	"l"	"l"	470	NA	5.6	2.2
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	6	"a"	"whiteFace2.bmp"	1200	"white"	2	"+"	"weapon2.bmp"	"weapon"	1	"a"	"a"	454	NA	5.6	2.2
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	7	"a"	"blackFace1.bmp"	1000	"black"	3	"TOO SLOW"	"weapon4.bmp"	"weapon"	0	"a"	""	0	NA	5.6	2.2
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	8	"a"	"blackFace3.bmp"	800	"black"	2	"+"	"weapon3.bmp"	"weapon"	1	"a"	"a"	436	NA	5.6	2.2
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	9	"a"	"whiteFace2.bmp"	1200	"white"	1	"+"	"weapon3.bmp"	"weapon"	0	"a"	"l"	308	NA	5.6	2.2
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	10	"a"	"whiteFace7.bmp"	800	"white"	1	"+"	"weapon1.bmp"	"weapon"	0	"a"	"l"	347	NA	5.6	2.2
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	11	"l"	"blackFace8.bmp"	1000	"black"	1	"+"	"tool3.bmp"	"tool"	0	"l"	"a"	378	NA	5.6	2.2
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	12	"a"	"whiteFace6.bmp"	800	"white"	2	"+"	"weapon1.bmp"	"weapon"	1	"a"	"a"	450	NA	5.6	2.2
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	13	"l"	"blackFace7.bmp"	1200	"black"	2	"+"	"tool4.bmp"	"tool"	1	"l"	"l"	481	NA	5.6	2.2
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	14	"l"	"blackFace2.bmp"	1000	"black"	2	"+"	"tool2.bmp"	"tool"	1	"l"	"l"	425	NA	5.6	2.2
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	15	"a"	"whiteFace1.bmp"	1000	"white"	3	"TOO SLOW"	"weapon2.bmp"	"weapon"	0	"a"	""	0	NA	5.6	2.2
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	16	"a"	"whiteFace1.bmp"	800	"white"	3	"TOO SLOW"	"weapon4.bmp"	"weapon"	0	"a"	""	0	NA	5.6	2.2
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	17	"l"	"blackFace5.bmp"	1200	"black"	2	"+"	"tool4.bmp"	"tool"	1	"l"	"l"	453	NA	5.6	2.2
