"Subject"	"Task"	"Observer"	"Black_C"	"Black_A"	"White_C"	"White_A"	"MeanC"	"AResids"	"CResids"
1	"AP"	"Present"	0	0.229166666666667	0.1875	0.717948717948718	0.09375	-0.266830759821767	-0.166491434697183
2	"AP"	"Absent"	0.0833333333333334	0.613636363636364	0.0416666666666667	0.565217391304348	0.0625000000000001	0.155254425306922	0.0379979247037338
3	"AP"	"Present"	0.0625	0.377777777777778	0.0625	0.533333333333333	0.0625	-0.072751584191465	-0.000143412353540134
4	"AP"	"Absent"	-0.104166666666667	0.509433962264151	-0.0625	0.352941176470588	-0.0833333333333333	0.103332545691111	-0.0629620566765621
5	"AP"	"Present"	0.416666666666667	0.428571428571429	0.4375	0.222222222222222	0.427083333333333	0.0546641753289696	0.0424791872821924
6	"AP"	"Absent"	-0.125	0.444444444444444	0.25	0.444444444444444	0.0625	0.015807113539997	-0.343415445869007
8	"AP"	"Absent"	0.104166666666667	0.372093023255814	0.125	0.571428571428571	0.114583333333333	-0.0878186377411983	-0.0104007568586958
10	"AP"	"Absent"	0.583333333333333	0.25	0.520833333333333	0.130434782608696	0.552083333333333	-0.101301351599464	0.139913839053096
11	"AP"	"Present"	0.375	0.7	0.5625	0.619047619047619	0.46875	0.228360465218276	-0.103035501728119
12	"AP"	"Absent"	0	0.416666666666667	0.1875	0.692307692307692	0.09375	-0.0730157508607679	-0.166491434697185
13	"AP"	"Present"	0.5	0.583333333333333	0.6875	0.4	0.59375	0.165642017961284	-0.0818835240717636
14	"AP"	"Absent"	0.375	0.433333333333333	0.395833333333333	0.482758620689655	0.385416666666667	-0.00474021785766389	0.0354285280634074
16	"AP"	"Absent"	0.5625	0.0952380952380952	0.8125	0.222222222222222	0.6875	-0.278669158004364	-0.123231546415408
17	"AP"	"Present"	-0.0416666666666667	0.5	0.104166666666667	0.418604651162791	0.03125	0.0777266316143884	-0.138926086468088
18	"AP"	"Absent"	0.145833333333333	0.195121951219512	0.166666666666667	0.425	0.15625	-0.228726497889511	-0.00335009763991071
19	"AP"	"Present"	0.479166666666667	0.28	0.75	0.5	0.614583333333333	-0.162319850319945	-0.154640868576919
