"Subject"	"Session"	"DemoAge.RESP"	"DemoEthnicity.RESP"	"DemoGender.RESP"	"DemoRace.RESP"	"responseMappingTool"	"Block"	"Procedure.Block."	"toolResponse"	"weaponResponse"	"Trial"	"blockName"	"Practice.Trial."	"SubTrial"	"CorrectResponse"	"facePictureFile"	"ITIDuration"	"PrimeType"	"responseAccData"	"rtFeedbackText"	"targetPictureFile"	"TargetType"	"TargetWIT.ACC"	"TargetWIT.CRESP"	"TargetWIT.RESP"	"TargetWIT.RT"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	1	"practiceWIT"	"yes"	1	"a"	"whiteFace7.bmp"	"1200"	"white"	"3"	"TOO SLOW"	"weapon2.bmp"	"weapon"	"0"	"a"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	1	"practiceWIT"	"yes"	2	"l"	"whiteFace4.bmp"	"800"	"white"	"1"	"+"	"tool4.bmp"	"tool"	"0"	"l"	"a"	"351"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	1	"practiceWIT"	"yes"	3	"l"	"blackFace5.bmp"	"1000"	"black"	"2"	"+"	"tool1.bmp"	"tool"	"1"	"l"	"l"	"311"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	1	"practiceWIT"	"yes"	4	"l"	"whiteFace5.bmp"	"1200"	"white"	"3"	"TOO SLOW"	"tool2.bmp"	"tool"	"0"	"l"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	1	"practiceWIT"	"yes"	5	"l"	"whiteFace4.bmp"	"800"	"white"	"1"	"+"	"tool3.bmp"	"tool"	"0"	"l"	"a"	"373"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	1	"practiceWIT"	"yes"	6	"a"	"blackFace3.bmp"	"1000"	"black"	"3"	"TOO SLOW"	"weapon1.bmp"	"weapon"	"0"	"a"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	1	"practiceWIT"	"yes"	7	"l"	"blackFace2.bmp"	"800"	"black"	"1"	"+"	"tool4.bmp"	"tool"	"0"	"l"	"a"	"362"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	1	"practiceWIT"	"yes"	8	"a"	"whiteFace5.bmp"	"1200"	"white"	"3"	"TOO SLOW"	"weapon2.bmp"	"weapon"	"0"	"a"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	1	"practiceWIT"	"yes"	9	"a"	"whiteFace6.bmp"	"1000"	"white"	"1"	"+"	"weapon4.bmp"	"weapon"	"0"	"a"	"l"	"425"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	1	"practiceWIT"	"yes"	10	"l"	"whiteFace6.bmp"	"1200"	"white"	"1"	"+"	"tool3.bmp"	"tool"	"0"	"l"	"a"	"232"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	1	"practiceWIT"	"yes"	11	"l"	"blackFace8.bmp"	"800"	"black"	"3"	"TOO SLOW"	"tool4.bmp"	"tool"	"0"	"l"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	1	"practiceWIT"	"yes"	12	"l"	"blackFace2.bmp"	"1000"	"black"	"2"	"+"	"tool3.bmp"	"tool"	"1"	"l"	"l"	"351"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	1	"practiceWIT"	"yes"	13	"a"	"whiteFace3.bmp"	"1000"	"white"	"1"	"+"	"weapon1.bmp"	"weapon"	"0"	"a"	"l"	"391"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	1	"practiceWIT"	"yes"	14	"a"	"blackFace5.bmp"	"800"	"black"	"1"	"+"	"weapon1.bmp"	"weapon"	"0"	"a"	"l"	"350"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	1	"practiceWIT"	"yes"	15	"a"	"blackFace4.bmp"	"1200"	"black"	"2"	"+"	"weapon3.bmp"	"weapon"	"1"	"a"	"a"	"213"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	1	"practiceWIT"	"yes"	16	"a"	"blackFace6.bmp"	"1200"	"black"	"1"	"+"	"weapon4.bmp"	"weapon"	"0"	"a"	"l"	"357"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	1	"a"	"blackFace5.bmp"	"800"	"black"	"2"	"+"	"weapon3.bmp"	"weapon"	"1"	"a"	"a"	"457"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	2	"a"	"blackFace7.bmp"	"1000"	"black"	"2"	"+"	"weapon4.bmp"	"weapon"	"1"	"a"	"a"	"472"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	3	"a"	"whiteFace2.bmp"	"1200"	"white"	"1"	"+"	"weapon4.bmp"	"weapon"	"0"	"a"	"l"	"336"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	4	"l"	"whiteFace4.bmp"	"800"	"white"	"3"	"TOO SLOW"	"tool2.bmp"	"tool"	"0"	"l"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	5	"l"	"whiteFace6.bmp"	"1000"	"white"	"2"	"+"	"tool4.bmp"	"tool"	"1"	"l"	"l"	"470"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	6	"a"	"whiteFace2.bmp"	"1200"	"white"	"2"	"+"	"weapon2.bmp"	"weapon"	"1"	"a"	"a"	"454"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	7	"a"	"blackFace1.bmp"	"1000"	"black"	"3"	"TOO SLOW"	"weapon4.bmp"	"weapon"	"0"	"a"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	8	"a"	"blackFace3.bmp"	"800"	"black"	"2"	"+"	"weapon3.bmp"	"weapon"	"1"	"a"	"a"	"436"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	9	"a"	"whiteFace2.bmp"	"1200"	"white"	"1"	"+"	"weapon3.bmp"	"weapon"	"0"	"a"	"l"	"308"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	10	"a"	"whiteFace7.bmp"	"800"	"white"	"1"	"+"	"weapon1.bmp"	"weapon"	"0"	"a"	"l"	"347"
