"Subject"	"TrialType"	"numErr"	"GenType"	"Task"	"ConType"	"PrimeType"	"TargetType"	"numTOErr"	"numComErr"	"Observer"	"Effort"	"Attend"	"Anx"
1	"WITnumErr_bw"	18	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	17	"Present"	6	6	1
2	"WITnumErr_bw"	15	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	11	"Absent"	6	6	3
3	"WITnumErr_bw"	21	"black_con"	"WIT"	"congruent"	"black"	"gun"	13	8	"Present"	7	7	6
4	"WITnumErr_bw"	NA	"black_con"	"WIT"	"congruent"	"black"	"gun"	NA	NA	"Absent"	5	5	3
5	"WITnumErr_bw"	17	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	13	"Present"	6	5	6
6	"WITnumErr_bw"	14	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	12	"Absent"	5	5	3
7	"WITnumErr_bw"	NA	"black_con"	"WIT"	"congruent"	"black"	"gun"	NA	NA	"Present"	6	6	5
8	"WITnumErr_bw"	19	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	19	"Absent"	2	2	4
9	"WITnumErr_bw"	NA	"black_con"	"WIT"	"congruent"	"black"	"gun"	NA	NA	"Present"	6	5	5
10	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	9	"Absent"	7	7	5
11	"WITnumErr_bw"	11	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	8	"Present"	5	5	2
12	"WITnumErr_bw"	14	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	8	"Absent"	6	5	6
13	"WITnumErr_bw"	11	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	7	"Present"	7	5	5
14	"WITnumErr_bw"	11	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	10	"Absent"	6	7	6
15	"WITnumErr_bw"	NA	"black_con"	"WIT"	"congruent"	"black"	"gun"	NA	NA	"Present"	6	5	6
16	"WITnumErr_bw"	14	"black_con"	"WIT"	"congruent"	"black"	"gun"	7	7	"Absent"	7	7	5
17	"WITnumErr_bw"	20	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	19	"Present"	7	7	6
18	"WITnumErr_bw"	22	"black_con"	"WIT"	"congruent"	"black"	"gun"	12	10	"Absent"	6	5	7
19	"WITnumErr_bw"	14	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	12	"Present"	7	7	6
20	"WITnumErr_bw"	1	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	1	"Absent"	7	7	4
21	"WITnumErr_bw"	8	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	4	"Present"	7	6	2
22	"WITnumErr_bw"	22	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	16	"Absent"	7	7	4
23	"WITnumErr_bw"	9	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	8	"Present"	6	4	5
24	"WITnumErr_bw"	10	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	7	"Absent"	7	6	2
25	"WITnumErr_bw"	27	"black_con"	"WIT"	"congruent"	"black"	"gun"	11	16	"Present"	3	3	5
26	"WITnumErr_bw"	17	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	11	"Absent"	4	4	6
27	"WITnumErr_bw"	15	"black_con"	"WIT"	"congruent"	"black"	"gun"	10	5	"Present"	6	7	6
28	"WITnumErr_bw"	NA	"black_con"	"WIT"	"congruent"	"black"	"gun"	NA	NA	"Absent"	4	5	4
29	"WITnumErr_bw"	20	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	16	"Present"	7	6	7
30	"WITnumErr_bw"	6	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	3	"Absent"	7	5	3
31	"WITnumErr_bw"	22	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	19	"Present"	5	4	6
32	"WITnumErr_bw"	31	"black_con"	"WIT"	"congruent"	"black"	"gun"	8	23	"Absent"	5	4	6
33	"WITnumErr_bw"	15	"black_con"	"WIT"	"congruent"	"black"	"gun"	12	3	"Present"	6	4	6
34	"WITnumErr_bw"	21	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	16	"Absent"	5	5	2
35	"WITnumErr_bw"	17	"black_con"	"WIT"	"congruent"	"black"	"gun"	8	9	"Present"	7	6	6
36	"WITnumErr_bw"	NA	"black_con"	"WIT"	"congruent"	"black"	"gun"	NA	NA	"Absent"	7	7	6
37	"WITnumErr_bw"	13	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	13	"Present"	4	4	3
38	"WITnumErr_bw"	3	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	2	"Absent"	7	6	5
39	"WITnumErr_bw"	NA	"black_con"	"WIT"	"congruent"	"black"	"gun"	NA	NA	"Present"	7	5	6
40	"WITnumErr_bw"	26	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	25	"Absent"	7	6	6
41	"WITnumErr_bw"	9	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	7	"Present"	5	6	5
42	"WITnumErr_bw"	15	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	13	"Absent"	4	5	5
43	"WITnumErr_bw"	10	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	4	"Present"	6	7	5
44	"WITnumErr_bw"	3	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	1	"Absent"	4	5	6
45	"WITnumErr_bw"	18	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	15	"Present"	7	7	6
46	"WITnumErr_bw"	9	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	7	"Absent"	6	5	6
47	"WITnumErr_bw"	13	"black_con"	"WIT"	"congruent"	"black"	"gun"	7	6	"Present"	7	7	5
48	"WITnumErr_bw"	20	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	15	"Absent"	6	6	6
49	"WITnumErr_bw"	9	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	8	"Present"	6	6	6
50	"WITnumErr_bw"	9	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	9	"Absent"	7	7	4
51	"WITnumErr_bw"	18	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	15	"Present"	7	7	5
52	"WITnumErr_bw"	13	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	12	"Absent"	6	7	4
53	"WITnumErr_bw"	NA	"black_con"	"WIT"	"congruent"	"black"	"gun"	NA	NA	"Present"	NA	NA	NA
