"Subject"	"WITconErrors"	"WITinconErrors"	"APconErrors"	"APinconErrors"	"WITperfBias"	"APperfBias"	"Observer"
"1"	50	49	48	45	-0.0104166666666667	-0.03125	"Present"
"2"	23	38	37	56	0.15625	0.197916666666667	"Absent"
"3"	35	48	49	47	0.135416666666667	-0.0208333333333333	"Present"
"5"	44	56	37	46	0.125	0.09375	"Present"
"6"	32	42	50	41	0.104166666666667	-0.0937500000000001	"Absent"
"8"	50	46	45	57	-0.0416666666666667	0.125	"Absent"
"10"	26	30	35	20	0.0416666666666667	-0.15625	"Absent"
"11"	30	45	17	56	0.15625	0.40625	"Present"
"12"	26	65	40	48	0.40625	0.0833333333333333	"Absent"
"13"	26	26	19	23	0	0.0416666666666667	"Present"
"14"	20	39	32	41	0.197916666666667	0.09375	"Absent"
"16"	31	37	26	13	0.0625	-0.135416666666667	"Absent"
"17"	44	45	50	50	0.0104166666666667	0	"Present"
"18"	59	53	56	48	-0.0625	-0.0833333333333334	"Absent"
"19"	17	36	24	26	0.197916666666667	0.0208333333333333	"Present"
"20"	11	37	5	35	0.270833333333333	0.3125	"Absent"
"21"	20	39	21	39	0.197916666666667	0.1875	"Present"
"22"	48	47	36	57	-0.0104166666666667	0.21875	"Absent"
"23"	19	28	21	26	0.09375	0.0520833333333333	"Present"
"24"	24	17	23	24	-0.0729166666666667	0.0104166666666667	"Absent"
"25"	40	58	32	71	0.1875	0.40625	"Present"
"26"	30	44	23	25	0.145833333333333	0.0208333333333333	"Absent"
"27"	25	42	52	32	0.177083333333333	-0.208333333333333	"Present"
"29"	42	45	45	37	0.03125	-0.0833333333333333	"Present"
"30"	16	29	30	44	0.135416666666667	0.145833333333333	"Absent"
"31"	53	47	51	52	-0.0625000000000001	0.0104166666666666	"Present"
"32"	59	47	57	58	-0.125	0.0104166666666666	"Absent"
"33"	33	28	27	47	-0.0520833333333333	0.208333333333333	"Present"
"35"	37	54	38	41	0.177083333333333	0.03125	"Present"
"37"	28	45	12	49	0.177083333333333	0.385416666666667	"Present"
"38"	14	33	24	13	0.197916666666667	-0.114583333333333	"Absent"
"40"	51	44	44	49	-0.0729166666666667	0.0520833333333333	"Absent"
"41"	24	43	33	35	0.197916666666667	0.0208333333333333	"Present"
"42"	38	66	37	66	0.291666666666667	0.302083333333333	"Absent"
"43"	29	35	38	18	0.0625	-0.208333333333333	"Present"
"44"	11	34	28	32	0.239583333333333	0.0416666666666666	"Absent"
"45"	32	34	20	43	0.0208333333333334	0.239583333333333	"Present"
"46"	20	31	25	20	0.114583333333333	-0.0520833333333333	"Absent"
"47"	28	41	38	42	0.135416666666667	0.0416666666666667	"Present"
"48"	32	44	57	36	0.125	-0.21875	"Absent"
"49"	32	39	29	50	0.0729166666666667	0.21875	"Present"
"50"	28	49	39	32	0.21875	-0.0729166666666667	"Absent"
"51"	33	48	25	42	0.15625	0.177083333333333	"Present"
"52"	31	31	30	39	0	0.09375	"Absent"
"54"	27	41	27	37	0.145833333333333	0.104166666666667	"Absent"
"55"	33	48	43	52	0.15625	0.0937499999999999	"Present"
"56"	27	44	29	55	0.177083333333333	0.270833333333333	"Absent"
"57"	19	29	18	35	0.104166666666667	0.177083333333333	"Present"
"58"	38	43	28	52	0.0520833333333334	0.25	"Absent"
"60"	48	57	43	49	0.09375	0.0624999999999999	"Absent"
"61"	56	47	47	66	-0.0937500000000001	0.197916666666667	"Present"
"62"	14	33	17	29	0.197916666666667	0.125	"Absent"
"63"	41	53	44	44	0.125	0	"Present"
"65"	43	44	45	36	0.0104166666666666	-0.09375	"Present"
"66"	23	47	37	40	0.25	0.03125	"Absent"
"67"	35	33	30	30	-0.0208333333333333	0	"Present"
"68"	47	48	37	57	0.0104166666666667	0.208333333333333	"Absent"
"69"	51	65	30	50	0.145833333333333	0.208333333333333	"Present"
"70"	40	57	23	52	0.177083333333333	0.302083333333333	"Absent"
"71"	19	43	17	40	0.25	0.239583333333333	"Present"
"72"	18	62	40	54	0.458333333333333	0.145833333333333	"Absent"
"73"	36	50	33	42	0.145833333333333	0.09375	"Present"
"74"	22	21	24	34	-0.0104166666666667	0.104166666666667	"Absent"
"75"	33	50	45	62	0.177083333333333	0.177083333333333	"Present"
"76"	14	33	26	39	0.197916666666667	0.135416666666667	"Absent"
"77"	28	43	30	50	0.15625	0.208333333333333	"Present"
"78"	19	29	36	41	0.104166666666667	0.0520833333333333	"Absent"
"79"	35	61	30	43	0.270833333333333	0.135416666666667	"Present"
"80"	32	35	29	47	0.03125	0.1875	"Absent"
"81"	49	40	36	32	-0.0937499999999999	-0.0416666666666667	"Present"
"82"	57	64	61	56	0.0729166666666666	-0.0520833333333333	"Absent"
"83"	30	40	38	44	0.104166666666667	0.0625	"Present"
"84"	30	27	46	61	-0.03125	0.15625	"Absent"
"85"	19	32	22	31	0.135416666666667	0.09375	"Present"
"86"	39	35	37	48	-0.0416666666666667	0.114583333333333	"Absent"
"87"	31	51	58	54	0.208333333333333	-0.0416666666666666	"Present"
"88"	38	55	56	65	0.177083333333333	0.09375	"Absent"
"89"	41	43	34	41	0.0208333333333334	0.0729166666666666	"Present"
"90"	25	53	43	39	0.291666666666667	-0.0416666666666667	"Absent"
"91"	30	29	39	51	-0.0104166666666667	0.125	"Present"
"92"	13	36	31	29	0.239583333333333	-0.0208333333333334	"Absent"
"93"	35	53	30	73	0.1875	0.447916666666667	"Present"
"94"	26	52	24	49	0.270833333333333	0.260416666666667	"Absent"
"95"	47	61	28	43	0.145833333333333	0.15625	"Present"
"96"	25	43	19	32	0.1875	0.135416666666667	"Absent"
"97"	16	36	18	48	0.208333333333333	0.3125	"Present"
"98"	27	61	47	48	0.354166666666667	0.0104166666666667	"Absent"
"99"	22	33	31	37	0.114583333333333	0.0625	"Present"
"100"	26	36	23	33	0.104166666666667	0.104166666666667	"Absent"
"101"	9	20	22	50	0.114583333333333	0.291666666666667	"Present"
